iter	Passed	Remaining
159	2338	19581
160	2353	19575
161	2368	19559
162	2382	19544
163	2397	19534
164	2412	19519
165	2427	19505
166	2442	19492
167	2456	19473
168	2469	19452
169	2484	19438
170	2498	19419
171	2516	19426
172	2530	19407
173	2545	19395
174	2560	19384
175	2573	19361
176	2588	19349
177	2604	19340
178	2618	19323
179	2632	19304
180	2646	19289
181	2661	19271
182	2677	19265
183	2692	19258
184	2707	19246
185	2722	19230
186	2737	19219
187	2753	19212
188	2766	19190
189	2781	19179
190	2796	19167
191	2811	19153
192	2825	19134
193	2839	19118
194	2855	19110
195	2869	19089
196	2884	19080
197	2899	19067
198	2913	19048
199	2927	19025
200	2942	19016
201	2957	19005
202	2972	18994
203	2988	18987
204	3004	18977
205	3019	18966
206	3034	18951
207	3049	18940
208	3064	18929
209	3078	18911
210	3092	18891
211	3106	18874
212	3121	18858
213	3135	18839
214	3149	18826
215	3164	18810
216	3179	18800
217	3195	18788
218	3209	18772
219	3224	18762
220	3240	18753
221	3253	18731
222	3269	18720
223	3284	18712
224	3299	18698
225	3313	18679
226	3328	18665
227	3343	18651
228	3357	18632
229	3372	18621
230	3388	18613
231	3404	18606
232	3418	18587
233	3434	18582
234	3448	18563
235	3464	18553
236	3479	18543
237	3495	18533
238	3510	18519
239	3524	18503
240	3538	18485
241	3553	18473
242	3568	18459
243	3582	18441
244	3596	18422
245	3610	18403
246	3626	18395
247	3641	18385
248	3657	18377
249	3673	18366
250	3688	18352
251	3701	18333
252	3715	18313
253	3729	18293
254	3745	18284
255	3760	18275
256	3774	18257
257	3790	18247
258	3804	18227
259	3819	18214
260	3835	18208
261	3850	18195
262	3865	18183
263	3880	18167
264	3893	18147
265	3907	18128
266	3923	18116
267	3937	18100
268	3951	18084
269	3966	18068
270	3980	18051
271	3994	18035
272	4008	18014
273	4022	18000
274	4038	17989
275	4053	17978
276	4068	17963
277	4083	17949
278	4097	17930
279	4112	17918
280	4126	17901
281	4141	17888
282	4155	17870
283	4169	17853
284	4184	17840
285	4198	17823
286	4213	17810
287	4227	17792
288	4242	17778
289	4258	17767
290	4272	17750
291	4286	17731
292	4301	17719
293	4316	17708
294	4331	17692
295	4345	17676
296	4359	17659
297	4373	17640
298	4388	17628
299	4402	17609
300	4416	17590
301	4430	17573
302	4445	17562
303	4461	17551
304	4474	17532
305	4495	17541
306	4516	17550
307	4533	17543
308	4547	17527
309	4568	17535
310	4585	17532
311	4601	17520
312	4617	17512
313	4639	17523
314	4657	17520
315	4671	17504
316	4686	17488
317	4699	17469
318	4713	17450
319	4727	17432
320	4741	17415
321	4756	17400
322	4771	17386
323	4785	17368
324	4799	17353
325	4814	17338
326	4828	17320
327	4841	17300
328	4855	17283
329	4871	17269
330	4885	17255
331	4899	17237
332	4913	17220
333	4927	17202
334	4941	17183
335	4955	17167
336	4970	17154
337	4984	17136
338	4998	17118
339	5012	17102
340	5026	17084
341	5040	17067
342	5055	17053
343	5071	17041
344	5086	17028
345	5100	17012
346	5115	16997
347	5129	16981
348	5144	16966
349	5161	16958
350	5176	16944
351	5190	16927
352	5205	16913
353	5220	16898
354	5234	16884
355	5249	16870
356	5265	16859
357	5280	16843
358	5295	16830
359	5310	16815
360	5324	16799
361	5338	16781
362	5351	16763
363	5366	16749
364	5380	16731
365	5395	16716
366	5410	16701
367	5424	16684
368	5438	16670
369	5453	16655
370	5468	16642
371	5483	16626
372	5501	16622
373	5516	16608
374	5531	16594
375	5545	16578
376	5560	16563
377	5575	16549
378	5589	16533
379	5603	16516
380	5618	16500
381	5632	16485
382	5646	16469
383	5662	16456
384	5676	16439
385	5691	16426
386	5706	16411
387	5720	16395
388	5736	16382
389	5750	16366
390	5765	16352
391	5780	16339
392	5794	16321
393	5808	16304
394	5822	16287
395	5838	16275
396	5853	16263
397	5867	16247
398	5882	16233
399	5897	16219
400	5913	16206
401	5926	16188
402	5941	16173
403	5957	16160
404	5971	16144
405	5986	16130
406	6001	16117
407	6017	16104
408	6032	16091
409	6048	16079
410	6063	16065
411	6076	16047
412	6092	16036
413	6109	16026
414	6125	16013
415	6139	15999
416	6154	15983
417	6169	15968
418	6184	15956
419	6199	15940
420	6213	15926
421	6228	15911
422	6244	15898
423	6258	15881
424	6272	15864
425	6286	15848
426	6300	15832
427	6315	15819
428	6331	15805
429	6347	15794
430	6361	15778
431	6375	15762
432	6390	15748
433	6404	15730
434	6419	15716
435	6434	15703
436	6449	15688
437	6463	15672
438	6479	15660
439	6493	15644
440	6508	15628
441	6522	15613
442	6538	15601
443	6552	15585
444	6567	15570
445	6582	15556
446	6596	15539
447	6611	15524
448	6626	15511
449	6640	15495
450	6655	15479
451	6670	15465
452	6683	15447
453	6699	15435
454	6714	15422
455	6728	15405
456	6743	15391
457	6759	15379
458	6774	15364
459	6789	15349
460	6804	15334
461	6818	15318
462	6833	15306
463	6848	15290
464	6863	15276
465	6877	15260
466	6891	15244
467	6906	15230
468	6922	15218
469	6938	15205
470	6954	15192
471	6969	15178
472	6984	15164
473	6998	15148
474	7012	15131
475	7026	15116
476	7041	15102
477	7056	15086
478	7070	15070
479	7085	15057
480	7101	15043
481	7116	15029
482	7130	15014
483	7145	15000
484	7161	14987
485	7175	14970
486	7189	14953
487	7202	14936
488	7217	14921
489	7231	14906
490	7246	14891
491	7260	14876
492	7275	14860
493	7290	14846
494	7303	14828
495	7317	14812
496	7332	14798
497	7348	14785
498	7363	14770
499	7378	14757
500	7393	14743
501	7408	14728
502	7423	14713
503	7438	14700
504	7453	14685
505	7467	14669
506	7480	14651
507	7495	14636
508	7510	14622
509	7526	14609
510	7543	14600
511	7558	14584
512	7572	14570
513	7586	14553
514	7601	14537
515	7614	14521
516	7629	14505
517	7644	14492
518	7659	14477
519	7674	14463
520	7689	14449
521	7704	14435
522	7719	14419
523	7735	14408
524	7750	14393
525	7764	14377
526	7780	14364
527	7794	14348
528	7808	14333
529	7823	14318
530	7839	14305
531	7853	14290
532	7867	14274
533	7881	14258
534	7896	14243
535	7910	14226
536	7923	14209
537	7939	14195
538	7954	14182
539	7970	14170
540	7985	14154
541	8000	14140
542	8014	14124
543	8028	14109
544	8044	14095
545	8058	14079
546	8072	14063
547	8086	14048
548	8101	14034
549	8117	14021
550	8134	14010
551	8149	13995
552	8164	13981
553	8179	13966
554	8193	13951
555	8207	13935
556	8222	13921
557	8237	13906
558	8251	13890
559	8266	13875
560	8281	13861
561	8296	13847
562	8311	13832
563	8327	13819
564	8341	13804
565	8356	13789
566	8370	13774
567	8385	13759
568	8398	13742
569	8412	13726
570	8428	13713
571	8443	13699
572	8458	13684
573	8473	13669
574	8487	13654
575	8502	13639
576	8517	13624
577	8533	13611
578	8546	13595
579	8561	13580
580	8577	13567
581	8591	13552
582	8606	13536
583	8622	13523
584	8636	13507
585	8650	13492
586	8664	13476
587	8678	13460
588	8692	13444
589	8706	13429
590	8723	13416
591	8737	13401
592	8751	13385
593	8765	13370
594	8779	13354
595	8794	13338
596	8808	13322
597	8822	13307
598	8836	13291
599	8851	13277
600	8865	13261
601	8879	13245
602	8893	13229
603	8907	13213
604	8923	13200
605	8938	13186
606	8952	13170
607	8967	13155
608	8983	13142
609	8996	13126
610	9012	13112
611	9026	13097
612	9040	13081
613	9055	13066
614	9069	13051
615	9084	13036
616	9099	13022
617	9114	13008
618	9130	12995
619	9145	12981
620	9160	12966
621	9175	12951
622	9188	12934
623	9203	12920
624	9218	12906
625	9234	12893
626	9249	12878
627	9263	12863
628	9277	12847
629	9292	12832
630	9307	12817
631	9320	12801
632	9336	12788
633	9350	12772
634	9365	12757
635	9380	12743
636	9395	12729
637	9411	12715
638	9427	12702
639	9442	12688
640	9456	12672
641	9470	12656
642	9484	12640
643	9497	12624
644	9513	12611
645	9529	12597
646	9545	12584
647	9561	12571
648	9577	12558
649	9592	12543
650	9607	12529
651	9621	12514
652	9635	12498
653	9649	12482
654	9663	12466
655	9678	12452
656	9692	12437
657	9707	12422
658	9723	12408
659	9737	12393
660	9753	12379
661	9768	12365
662	9783	12351
663	9797	12335
664	9811	12319
665	9825	12304
666	9840	12289
667	9854	12274
668	9868	12258
669	9883	12243
670	9898	12229
671	9913	12214
672	9926	12198
673	9942	12184
674	9957	12170
675	9971	12154
676	9985	12139
677	10000	12124
678	10014	12108
679	10028	12093
680	10043	12078
681	10057	12062
682	10071	12047
683	10086	12032
684	10100	12017
685	10114	12001
686	10128	11985
687	10143	11971
688	10158	11957
689	10172	11941
690	10186	11926
691	10201	11912
692	10216	11897
693	10230	11881
694	10243	11865
695	10259	11851
696	10274	11836
697	10288	11821
698	10303	11807
699	10317	11791
700	10332	11777
701	10349	11764
702	10363	11749
703	10377	11734
704	10393	11720
705	10409	11707
706	10424	11693
707	10440	11679
708	10455	11664
709	10470	11650
710	10485	11635
711	10505	11626
712	10520	11612
713	10535	11598
714	10551	11584
715	10566	11569
716	10580	11554
717	10595	11539
718	10609	11524
719	10623	11509
720	10637	11493
721	10653	11479
722	10667	11464
723	10682	11450
724	10697	11435
725	10711	11419
726	10726	11404
727	10740	11389
728	10756	11376
729	10772	11362
730	10786	11347
731	10801	11332
732	10815	11317
733	10830	11302
734	10846	11289
735	10860	11274
736	10874	11258
737	10890	11244
738	10905	11229
739	10920	11215
740	10934	11200
741	10950	11186
742	10966	11172
743	10981	11159
744	10997	11145
745	11013	11131
746	11028	11117
747	11044	11103
748	11058	11087
749	11071	11071
750	11085	11056
751	11101	11042
752	11114	11026
753	11129	11011
754	11145	10997
755	11160	10983
756	11175	10969
757	11191	10955
758	11206	10940
759	11220	10925
760	11235	10910
761	11249	10895
762	11263	10879
763	11277	10864
764	11292	10849
765	11306	10834
766	11322	10820
767	11336	10805
768	11350	10790
769	11366	10776
770	11380	10760
771	11394	10744
772	11407	10729
773	11422	10713
774	11436	10698
775	11451	10684
776	11465	10668
777	11481	10654
778	11495	10639
779	11509	10624
780	11524	10609
781	11538	10594
782	11553	10579
783	11567	10564
784	11583	10550
785	11597	10534
786	11610	10518
787	11625	10504
788	11639	10488
789	11655	10475
790	11669	10459
791	11684	10445
792	11698	10430
793	11713	10415
794	11728	10400
795	11743	10386
796	11758	10371
797	11772	10356
798	11787	10342
799	11802	10327
800	11817	10312
801	11832	10297
802	11847	10283
803	11861	10268
804	11875	10253
805	11890	10238
806	11904	10223
807	11918	10207
808	11932	10192
809	11947	10177
810	11961	10162
811	11975	10146
812	11990	10132
813	12004	10117
814	12020	10102
815	12033	10086
816	12047	10071
817	12062	10056
818	12077	10042
819	12092	10028
820	12106	10012
821	12120	9997
822	12135	9982
823	12149	9966
824	12162	9951
825	12177	9936
826	12191	9921
827	12206	9906
828	12222	9892
829	12237	9878
830	12251	9863
831	12267	9849
832	12282	9834
833	12296	9819
834	12311	9804
835	12325	9789
836	12340	9775
837	12355	9760
838	12369	9745
839	12384	9730
840	12399	9715
841	12414	9701
842	12428	9686
843	12442	9670
844	12456	9655
845	12472	9641
846	12488	9628
847	12503	9613
848	12519	9599
849	12533	9584
850	12548	9569
851	12562	9554
852	12578	9540
853	12591	9525
854	12606	9509
855	12620	9494
856	12636	9480
857	12651	9466
858	12667	9452
859	12683	9438
860	12697	9423
861	12711	9407
862	12726	9393
863	12742	9379
864	12758	9365
865	12773	9351
866	12787	9336
867	12802	9321
868	12817	9306
869	12831	9291
870	12845	9276
871	12860	9261
872	12874	9246
873	12888	9231
874	12903	9216
875	12916	9200
876	12930	9185
877	12945	9170
878	12959	9155
879	12974	9140
880	12989	9126
881	13004	9111
882	13019	9097
883	13035	9083
884	13050	9068
885	13066	9055
886	13080	9039
887	13093	9024
888	13108	9009
889	13123	8994
890	13138	8979
891	13153	8965
892	13168	8950
893	13183	8936
894	13198	8922
895	13212	8906
896	13227	8891
897	13240	8876
898	13256	8862
899	13271	8847
900	13285	8832
901	13301	8818
902	13317	8804
903	13333	8790
904	13348	8775
905	13363	8761
906	13377	8746
907	13391	8730
908	13405	8716
909	13419	8700
910	13433	8685
911	13449	8671
912	13464	8656
913	13479	8642
914	13493	8627
915	13509	8612
916	13523	8598
917	13537	8582
918	13551	8567
919	13565	8552
920	13580	8537
921	13595	8522
922	13609	8508
923	13625	8493
924	13640	8479
925	13654	8463
926	13669	8449
927	13683	8434
928	13697	8419
929	13713	8405
930	13729	8390
931	13744	8376
932	13759	8361
933	13773	8346
934	13788	8331
935	13801	8316
936	13817	8302
937	13832	8287
938	13847	8272
939	13862	8258
940	13876	8243
941	13890	8228
942	13906	8214
943	13921	8199
944	13936	8184
945	13949	8169
946	13964	8154
947	13979	8139
948	13993	8125
949	14008	8110
950	14024	8095
951	14038	8080
952	14052	8065
953	14066	8050
954	14080	8035
955	14094	8020
956	14109	8005
957	14123	7990
958	14137	7975
959	14151	7960
960	14165	7945
961	14180	7930
962	14195	7915
963	14210	7901
964	14224	7886
965	14238	7870
966	14254	7856
967	14269	7842
968	14285	7828
969	14300	7813
970	14316	7799
971	14332	7785
972	14346	7770
973	14361	7755
974	14376	7741
975	14391	7726
976	14406	7711
977	14420	7696
978	14435	7682
979	14449	7667
980	14466	7653
981	14481	7638
982	14496	7624
983	14511	7609
984	14526	7594
985	14540	7580
986	14555	7565
987	14570	7550
988	14585	7535
989	14600	7521
990	14613	7506
991	14627	7490
992	14642	7475
993	14657	7461
994	14673	7447
995	14689	7433
996	14704	7418
997	14718	7403
998	14732	7388
999	14748	7374
1000	14764	7360
1001	14778	7345
1002	14792	7330
1003	14807	7315
1004	14822	7300
1005	14837	7285
1006	14852	7271
1007	14867	7256
1008	14881	7241
1009	14896	7226
1010	14910	7211
1011	14924	7197
1012	14940	7182
1013	14955	7167
1014	14970	7153
1015	14985	7138
1016	15000	7124
1017	15015	7109
1018	15029	7094
1019	15044	7079
1020	15059	7065
1021	15075	7050
1022	15091	7036
1023	15105	7021
1024	15119	7006
1025	15134	6992
1026	15151	6978
1027	15165	6963
1028	15179	6948
1029	15193	6932
1030	15207	6917
1031	15223	6903
1032	15237	6888
1033	15252	6873
1034	15266	6858
1035	15281	6844
1036	15297	6830
1037	15312	6815
1038	15327	6800
1039	15343	6786
1040	15358	6771
1041	15373	6757
1042	15388	6742
1043	15403	6727
1044	15417	6712
1045	15431	6697
1046	15447	6683
1047	15462	6669
1048	15478	6654
1049	15494	6640
1050	15508	6625
1051	15522	6610
1052	15537	6595
1053	15553	6581
1054	15567	6566
1055	15581	6551
1056	15595	6536
1057	15610	6521
1058	15625	6507
1059	15640	6492
1060	15656	6477
1061	15672	6463
1062	15687	6449
1063	15701	6433
1064	15714	6418
1065	15730	6404
1066	15746	6390
1067	15761	6375
1068	15776	6360
1069	15790	6345
1070	15804	6330
1071	15819	6316
1072	15834	6301
1073	15849	6286
1074	15864	6271
1075	15880	6257
1076	15895	6243
1077	15911	6228
1078	15925	6213
1079	15940	6198
1080	15954	6183
1081	15968	6168
1082	15982	6153
1083	15996	6138
1084	16011	6124
1085	16026	6109
1086	16042	6095
1087	16057	6080
1088	16071	6065
1089	16086	6050
1090	16100	6035
1091	16115	6021
1092	16129	6006
1093	16143	5991
1094	16157	5976
1095	16171	5961
1096	16185	5946
1097	16201	5931
1098	16215	5916
1099	16230	5902
1100	16247	5887
1101	16261	5872
1102	16274	5857
1103	16289	5843
1104	16304	5828
1105	16318	5813
1106	16333	5798
1107	16349	5784
1108	16364	5769
1109	16379	5754
1110	16394	5740
1111	16409	5725
1112	16424	5710
1113	16438	5695
1114	16454	5681
1115	16468	5666
1116	16483	5652
1117	16499	5637
1118	16514	5623
1119	16529	5608
1120	16544	5593
1121	16559	5578
1122	16574	5564
1123	16587	5549
1124	16601	5533
1125	16616	5519
1126	16631	5504
1127	16645	5489
1128	16660	5474
1129	16674	5459
1130	16689	5445
1131	16703	5430
1132	16718	5415
1133	16732	5400
1134	16746	5385
1135	16760	5370
1136	16775	5355
1137	16789	5340
1138	16804	5326
1139	16818	5311
1140	16833	5296
1141	16847	5281
1142	16862	5266
1143	16876	5251
1144	16892	5237
1145	16907	5222
1146	16922	5208
1147	16938	5193
1148	16953	5178
1149	16969	5164
1150	16984	5150
1151	17000	5135
1152	17014	5120
1153	17029	5105
1154	17045	5091
1155	17059	5076
1156	17073	5061
1157	17087	5046
1158	17102	5031
1159	17118	5017
1160	17134	5003
1161	17148	4988
1162	17162	4973
1163	17177	4958
1164	17192	4943
1165	17207	4929
1166	17222	4914
1167	17236	4899
1168	17251	4884
1169	17267	4870
1170	17282	4855
1171	17297	4841
1172	17313	4826
1173	17327	4811
1174	17341	4796
1175	17357	4782
1176	17372	4767
1177	17387	4752
1178	17401	4737
1179	17416	4723
1180	17432	4708
1181	17447	4693
1182	17462	4679
1183	17477	4664
1184	17492	4649
1185	17506	4635
1186	17522	4620
1187	17537	4605
1188	17552	4591
1189	17568	4576
1190	17583	4561
1191	17597	4547
1192	17612	4532
1193	17627	4517
1194	17642	4502
1195	17655	4487
1196	17670	4473
1197	17685	4458
1198	17699	4443
1199	17714	4428
1200	17732	4414
1201	17746	4399
1202	17760	4384
1203	17774	4369
1204	17789	4355
1205	17803	4340
1206	17818	4325
1207	17832	4310
1208	17847	4295
1209	17861	4280
1210	17875	4265
1211	17891	4251
1212	17906	4236
1213	17922	4222
1214	17938	4207
1215	17954	4193
1216	17968	4178
1217	17982	4163
1218	17997	4148
1219	18013	4134
1220	18029	4119
1221	18043	4104
1222	18057	4089
1223	18072	4075
1224	18088	4060
1225	18103	4046
1226	18120	4031
1227	18134	4016
1228	18149	4001
1229	18162	3986
1230	18178	3972
1231	18193	3957
1232	18208	3942
1233	18222	3928
1234	18236	3913
1235	18251	3898
1236	18266	3883
1237	18281	3868
1238	18295	3854
1239	18310	3839
1240	18325	3824
1241	18341	3810
1242	18357	3795
1243	18373	3780
1244	18389	3766
1245	18405	3751
1246	18419	3737
1247	18434	3722
1248	18449	3707
1249	18464	3692
1250	18479	3678
1251	18494	3663
1252	18509	3648
1253	18525	3634
1254	18539	3619
1255	18554	3604
1256	18570	3589
1257	18585	3575
1258	18600	3560
1259	18614	3545
1260	18629	3530
1261	18643	3516
1262	18658	3501
1263	18673	3486
1264	18688	3471
1265	18703	3457
1266	18718	3442
1267	18735	3427
1268	18749	3413
1269	18764	3398
1270	18779	3383
1271	18793	3368
1272	18808	3353
1273	18823	3339
1274	18838	3324
1275	18853	3309
1276	18867	3294
1277	18881	3279
1278	18896	3265
1279	18911	3250
1280	18926	3235
1281	18942	3221
1282	18957	3206
1283	18971	3191
1284	18987	3176
1285	19003	3162
1286	19017	3147
1287	19032	3132
1288	19047	3117
1289	19061	3103
1290	19075	3088
1291	19089	3073
1292	19103	3058
1293	19117	3043
1294	19134	3028
1295	19148	3014
1296	19164	2999
1297	19179	2984
1298	19194	2970
1299	19208	2955
1300	19223	2940
1301	19237	2925
1302	19251	2910
1303	19266	2895
1304	19281	2881
1305	19296	2866
1306	19311	2851
1307	19326	2836
1308	19341	2822
1309	19357	2807
1310	19371	2792
1311	19385	2777
1312	19399	2762
1313	19416	2748
1314	19430	2733
1315	19444	2718
1316	19459	2704
1317	19473	2689
1318	19488	2674
1319	19501	2659
1320	19516	2644
1321	19531	2629
1322	19547	2615
1323	19562	2600
1324	19578	2585
1325	19592	2571
1326	19608	2556
1327	19622	2541
1328	19637	2526
1329	19651	2511
1330	19666	2497
1331	19680	2482
1332	19694	2467
1333	19708	2452
1334	19723	2437
1335	19738	2422
1336	19753	2408
1337	19768	2393
1338	19782	2378
1339	19796	2363
1340	19810	2348
1341	19825	2334
1342	19840	2319
1343	19856	2304
1344	19871	2290
1345	19885	2275
1346	19900	2260
1347	19914	2245
1348	19928	2230
1349	19942	2215
1350	19957	2201
1351	19973	2186
1352	19988	2171
1353	20003	2156
1354	20018	2142
1355	20032	2127
1356	20047	2112
1357	20061	2097
1358	20076	2083
1359	20091	2068
1360	20105	2053
1361	20120	2038
1362	20135	2023
1363	20150	2009
1364	20165	1994
1365	20180	1979
1366	20195	1964
1367	20210	1950
1368	20225	1935
1369	20239	1920
1370	20253	1905
1371	20268	1890
1372	20284	1876
1373	20298	1861
1374	20313	1846
1375	20327	1831
1376	20342	1817
1377	20358	1802
1378	20372	1787
1379	20387	1772
1380	20401	1757
1381	20415	1743
1382	20431	1728
1383	20446	1713
1384	20460	1698
1385	20475	1684
1386	20490	1669
1387	20504	1654
1388	20518	1639
1389	20532	1624
1390	20546	1610
1391	20561	1595
1392	20577	1580
1393	20591	1565
1394	20606	1551
1395	20621	1536
1396	20636	1521
1397	20651	1506
1398	20665	1491
1399	20679	1477
1400	20694	1462
1401	20709	1447
1402	20724	1432
1403	20739	1418
1404	20753	1403
1405	20767	1388
1406	20783	1373
1407	20797	1358
1408	20812	1344
1409	20826	1329
1410	20841	1314
1411	20855	1299
1412	20869	1284
1413	20883	1270
1414	20898	1255
1415	20912	1240
1416	20927	1225
1417	20941	1211
1418	20955	1196
1419	20971	1181
1420	20986	1166
1421	21001	1151
1422	21017	1137
1423	21031	1122
1424	21045	1107
1425	21059	1092
1426	21075	1078
1427	21089	1063
1428	21104	1048
1429	21119	1033
1430	21134	1019
1431	21149	1004
1432	21165	989
1433	21181	974
1434	21197	960
1435	21213	945
1436	21228	930
1437	21244	915
1438	21260	901
1439	21276	886
1440	21293	871
1441	21310	857
1442	21326	842
1443	21343	827
1444	21358	812
1445	21377	798
1446	21395	783
1447	21413	768
1448	21431	754
1449	21447	739
1450	21464	724
1451	21484	710
1452	21498	695
1453	21513	680
1454	21527	665
1455	21543	651
1456	21557	636
1457	21572	621
1458	21587	606
1459	21602	591
1460	21616	577
1461	21630	562
1462	21644	547
1463	21659	532
1464	21674	517
1465	21689	503
1466	21704	488
1467	21719	473
1468	21733	458
1469	21747	443
1470	21762	429
1471	21778	414
1472	21794	399
1473	21809	384
1474	21824	369
1475	21839	355
1476	21852	340
1477	21867	325
1478	21884	310
1479	21899	295
1480	21914	281
1481	21929	266
1482	21943	251
1483	21958	236
1484	21973	221
1485	21987	207
1486	22003	192
1487	22018	177
1488	22033	162
1489	22047	147
1490	22061	133
1491	22076	118
1492	22090	103
1493	22105	88
1494	22119	73
1495	22133	59
1496	22147	44
1497	22161	29
1498	22176	14
1499	22192	0
